Time (s),Power (W)
0,700.00
1,700.00
2,700.00
3,700.00
4,700.00
5,700.00
5,600.00
5,600.00
5,600.00
6,600.00
6,583.33
6,583.33
6,583.33
6,566.67
6,566.67
7,566.67
7,533.33
7,533.33
7,533.33
7,516.67
7,516.67
8,516.67
8,516.67
8,516.67
8,516.67
8,483.33
8,483.33
9,483.33
9,466.67
9,466.67
9,466.67
9,450.00
9,450.00
10,450.00
10,416.67
10,416.67
10,416.67
10,416.67
10,416.67
11,416.67
11,400.00
11,400.00
11,400.00
11,366.67
11,366.67
12,366.67
12,350.00
12,350.00
12,350.00
12,333.33
12,333.33
13,333.33
13,333.33
13,333.33
13,333.33
13,316.67
13,316.67
14,316.67
14,300.00
14,300.00
14,300.00
14,266.67
14,266.67
15,266.67
15,250.00
